	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_1	pvalues	ratio kmeans_1 to everything
Sult1a1	0.9492362677047773	1.5280087903744555	1.5635853565391133	1.4678674523342008	0.8519770859698239	0.9626624859746689
Nufip1	0.949283735415539	0.18683663109501844	0.19808885278764135	0.16781501823367972	0.8521031069657057	0.9747315614501192
B230208H11Rik	0.9493699605852248	0.09831884936109031	0.10432140018482271	0.08817168011144745	0.8522692211798849	0.9853758877889421
Kif23	0.9493699605852248	0.3084504091605404	0.29196074545589606	0.33632579304220095	0.8524137956056623	1.0343393154492861
Vps13c	0.9493699605852248	0.35433197294634156	0.37092706257031155	0.3262783690582018	0.8524307783180868	0.9674317513081993
Gm38387	0.9495388624702324	0.11293970229877641	0.1224079857419383	0.09693379457343135	0.8527158580481164	0.9773039826051596
Shmt2	0.9495388624702324	0.5000670677844536	0.5197146705608658	0.46685326309099484	0.8528808257941907	0.965216228747491
Dennd2a	0.9495388624702324	0.17826236007988058	0.16538220896054062	0.20003594887686005	0.8529631903064424	1.0297359438387417
Lypla2	0.9495388624702324	0.13916663312458455	0.1316665651057695	0.15184531953734334	0.8530065869032716	1.0178310069889602
Trappc1	0.9495388624702324	0.9530727017070374	0.9283186080647393	0.9949189076261604	0.8531161757722199	1.0345380163230706
Baz2b	0.9495388624702324	2.2068037757704793	2.2414834160306016	2.148178669616465	0.853156458829109	0.971215417622468
Agps	0.9495388624702324	1.714723490481305	1.7478547984013544	1.6587158032831264	0.8531665086782185	0.9675605147804436
Ripk2	0.94973809980933	0.07923304566736376	0.07429365261938492	0.08758297201037561	0.853506079884155	1.0123702856836099
Ercc8	0.94973809980933	0.21071489722529216	0.1980786270390094	0.23207621111162735	0.8535325661843005	1.0283767553358676
Gm43820	0.94973809980933	0.26713493716191095	0.2500819393243838	0.2959626239824926	0.8537400850631982	1.036702141847522
Epc2	0.94973809980933	0.5603823512759436	0.5781887831462934	0.5302810021617806	0.8539503633006928	0.9696438211346278
Dtd1	0.94973809980933	0.7915902143631275	0.7660504477435877	0.8347645817437782	0.8540657374231232	1.0389083641908328
Sesn1	0.94973809980933	0.3452329509247941	0.32929342948008516	0.3721783324146593	0.8540794161503665	1.032261426998362
Hadhb	0.94973809980933	1.2971509386167888	1.329398585438788	1.242637059465314	0.8541036829844756	0.9627536796339511
Pkm	0.94973809980933	2.685309042359513	2.6463068213479697	2.7512413683552173	0.8541574459998555	1.0287783097113192
Mtx2	0.94973809980933	0.46233004153372603	0.44720471964909664	0.48789903805298024	0.8541748029102505	1.028119254899715
Gm38257	0.94973809980933	0.29027178608277443	0.272206324014143	0.32081101957974645	0.8541800924032067	1.038205041625829
Pdcd6	0.9499019648772242	1.9367131336832202	1.901262832456442	1.996641023852297	0.8544109413429936	1.03287471590952
Eif4b	0.9501555980024934	1.9280432670572318	1.8952357327212939	1.9835036227203655	0.8547225708920496	1.030487289515492
Vps28	0.9503538968326186	2.1987570818373516	2.1645888762788896	2.2565176198052277	0.8549844636003822	1.0290491899960268
4933407K13Rik	0.9504473248390944	0.1283569989420118	0.11891963450216109	0.1443106388284261	0.8553557778645409	1.0226924289674855
Mzt2	0.9504473248390944	0.24366655086423028	0.255850304376084	0.22307020564181096	0.8553940893163559	0.9738980843337388
