	adjusted_p_values	mean_all	mean_kmeans_0	pvalues	ratio kmeans_0 to kmeans_3
2700016F22Rik	0.9064845421754834	0.8565173257515994	0.766615138124721	0.7823290959635695	1.0729963167755292
Gm42890	0.9064845421754834	0.09403187444263202	0.14201295294685853	0.782346815306685	0.9507658352025692
Mbip	0.9064845421754834	3.536804769477847	4.10775298297507	0.7823805951887168	0.9640740150306905
Lyar	0.9067414253112666	0.2888051542489039	0.31258378069922604	0.7827393543665299	0.9471401069459545
G3bp2	0.9067414253112666	1.259243355570405	1.1172990755463301	0.7827786797971734	0.9274558273627085
Gm13436	0.9067414253112666	0.7658330259174473	1.2358732687440874	0.7828413447876269	0.958558119222444
Opa1	0.9068548614047721	0.6966559431493542	0.6707421770876779	0.7830189690828901	1.0667516250507552
Gm44087	0.906894058607304	0.1606420001340794	0.2531799731558394	0.7831411341945103	1.0588363306824962
Ikbkb	0.906894058607304	0.3864742908263745	0.36729595503736145	0.7832756955266607	0.942716055094163
Vac14	0.906894058607304	0.12358970893335765	0.19243500892434248	0.7832918894596828	1.0499438713737903
Nacc2	0.9069944382020589	0.2676132079285596	0.4102084770414186	0.7834582888863127	0.9400227750224328
Pex26	0.9070025104994093	0.7685862719208852	1.0166652173264832	0.7835449631563878	1.0723749017683792
Gm7785	0.9074989789748783	0.10566150536420911	0.05333368464825189	0.7840535994095785	0.9832275722410613
Nans	0.9075673394541074	0.2420695577816304	0.29223855982875024	0.7841924120256799	1.0711380943459106
Samd10	0.9076253916156833	0.3311876786198103	0.29883686399761705	0.7843223287476828	1.0770222180853297
Osbp	0.9079262283365164	0.6795713959415369	0.43810819640084475	0.7846620787073497	1.0760117650026013
Cenpc1	0.9083938966869949	0.4868823934751508	0.7205680522667224	0.7851460780152268	0.9373742931677417
Trit1	0.9084038253959713	0.14547629769636358	0.22707701478690537	0.7852344842196985	1.059484437524212
Ctso	0.9084329562723342	0.2714179178312726	0.347345591773101	0.7854273062873371	1.0660141004142267
Rnf5	0.9084329562723342	0.6984769199372952	0.9609300889739233	0.7854807500959328	0.931727431252558
Fam76b	0.9084329562723342	0.6675642747584403	0.9477217774719701	0.7855898889337786	0.9447608060608067
Fam135a	0.9084329562723342	0.49083388711510595	0.6655776833207748	0.7856430694038192	0.93544619608045
Vars2	0.9084329562723342	0.21830323713503685	0.24333244057341427	0.7857823122000231	1.0550309101951898
4732471J01Rik	0.9084329562723342	0.11424833904108588	0.027810246279779068	0.7857826590426525	1.0128198618842508
E2f4	0.9084329562723342	0.39490917318305724	0.5198748463190552	0.7858461728251236	1.0694021737534494
