	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
AU040320	0.940618231693839	0.5141911620579509	0.5172901000386096	0.580295668462408	0.8770173111934012	0.9601305188129121
Gm6565	0.940618231693839	0.6658770344472256	0.9159455509253575	0.8503092348355973	0.8770350486191083	1.035473160298847
Cul4a	0.9406815995445341	0.849395314027147	0.9425484608798638	1.025796184342241	0.8772287031754951	0.9589061702723036
Mettl20	0.9406815995445341	0.3585516915372645	0.333419665565904	0.38365004674114217	0.8772592952297065	0.963697192585984
Spice1	0.9407019434492399	0.28861378097774715	0.35241580003503176	0.40485064924579556	0.8773608504261895	0.9626758550889991
Mnt	0.9407088571159101	0.16317066496283789	0.21913842644077294	0.25367885087611064	0.8774498820873097	0.9724487460156165
Chuk	0.9407566106953856	1.0733179227786516	0.9799625684316093	1.064674752886365	0.877638363157916	0.958970688077466
Ppp6r1	0.9407566106953856	0.34947131831221434	0.3457573276548386	0.3040145325428729	0.87767171927142	1.03201098919547
Hm629797	0.9407566106953856	0.22814920929771723	0.3977328472597558	0.34379893221539326	0.8777444450438666	1.0401354054921346
Chmp4b	0.9407566106953856	0.5994934094664047	0.67559452696574	0.7380916063071516	0.8778247752683042	0.9640427011357608
Eif3i	0.9409776444632766	2.1334553584798654	2.4947542501016744	2.6183144038230264	0.8781807936231323	0.9658514601188881
Stt3b	0.9409776444632766	1.3383319896600314	1.352016754641625	1.2573780962702905	0.8781962372301899	1.0419241502022631
Nr1d1	0.9410137063467586	0.38440757675880294	0.551518046493124	0.611114558453895	0.8783660916149036	0.963009140692042
Lnp	0.9410137063467586	0.5307318866564867	0.45848979974185256	0.5129698938946384	0.8784590809216438	0.9639912899968254
Msh6	0.9410137063467586	0.1356623866592278	0.05070885859267309	0.0632719018339853	0.8785793418026562	0.9881845431825643
Tti1	0.9410137063467586	0.1399367080505826	0.09852368636296291	0.12293580340353176	0.8786026243526615	0.978260451784886
Zfp318	0.9410137063467586	0.6863911714299304	0.7434416905864516	0.8312388887412249	0.8786429444916272	0.9520558466213416
Gm43087	0.9410278453959311	0.12340650941078014	0.23590947051647337	0.1925711735071606	0.8787387579208603	1.036340218489318
1700020I14Rik	0.9413609845753206	1.2446428692554035	1.071441122507403	0.9940775960486848	0.8791532981217345	1.0387966479398876
Zfp809	0.9413609845753206	0.6835414683250536	0.6066278796406313	0.6866673631896149	0.8792151272844207	0.9525457803383218
Gm13167	0.941429737672672	0.06132300954219811	0.10944467136881326	0.08992461976483038	0.8793619883098261	1.0179095427793847
Zfp292	0.9415858251542917	2.1005359867317352	2.2123384210838677	2.109395019524406	0.8796391426777688	1.0331072124683622
Prrg2	0.9415858251542917	0.3296029429314429	0.2878833199807964	0.3333122666262056	0.8797343483246438	0.9659277516733856
Unk	0.9415858251542917	0.29136337509956206	0.14148840770394341	0.17668397593393412	0.8798769303829009	0.9700891922131802
Crbn	0.9415858251542917	0.44478956838998945	0.27427901884544165	0.31963532357705143	0.8799092945513524	0.9656296675897812
Leng8	0.9415858251542917	0.2843735795465206	0.33262988279527084	0.3764705450877008	0.8800020185665636	0.9681499451994182
Gm4853	0.9415858251542917	0.2918297477846663	0.21319130145258502	0.23666894896953566	0.8800037480987261	0.98101541440293
Ros1	0.9416037184193434	0.1287347389443326	0.27036337495946755	0.22338592299688428	0.8801031331762575	1.0383995361394256
Tmem189	0.9418083975221426	0.6216076407895655	0.7888301538438971	0.8692513360689008	0.8803771237657603	0.9569767956436868
Gpm6b	0.9419887077129677	0.16114899879771816	0.2831835429198168	0.24193082854646647	0.8806283687503637	1.0332165958241264
9830144P21Rik	0.942088034968247	0.19129515512806766	0.169522358755359	0.13674935840362387	0.8808117384062955	1.0288304542329008
Traf6	0.942088034968247	0.3507495688699241	0.4865227983145592	0.5548789021285483	0.8808866351019927	0.956037667164682
Xlr4a	0.9421075565454708	0.13776056956826718	0.1169018629357764	0.0969024814866637	0.8810317933514713	1.01823259750676
Flcn	0.9421075565454708	0.7613743674341767	1.1918533970502807	1.2820518853794358	0.8810703011042841	0.9604748301705868
Cdyl	0.9422759759454978	0.36174266732230553	0.6449817992031772	0.577256629121163	0.8814227280144733	1.0429385864237897
Erbb2ip	0.9422759759454978	2.271580153879148	2.4060595573511185	2.515806597932982	0.8814336788339068	0.9687846764249245
Tex9	0.9422759759454978	0.1398222051591132	0.13421865376952252	0.11388734984039071	0.8815051052628593	1.018252567400146
Ttc1	0.9422759759454978	1.3265487195107255	1.4429882184289753	1.5329484652681713	0.8815991986507891	0.9644839805970266
Scly	0.9422759759454978	0.12625038444293687	0.10803053040923337	0.0909014894815138	0.8816576064906279	1.0157017302596778
Rapgef3	0.9422759759454978	0.1282563432001284	0.17560975297448156	0.1456474437860601	0.8817241355107595	1.0261531672338953
G6pc3	0.9426140099929722	0.53112944505563	0.6414698069547121	0.570324458051549	0.8821939888420587	1.045306145833989
