	GeneID	adjusted_pvalue	fold_change	GroupID	Vs
289	Sik1	1.4447979849028166e-05	1.9718449860018552	kmeans_0	Significance vs. kmeans_1
290	Gm7665	1.4958025331503117e-05	1.6808116382130565	kmeans_0	Significance vs. kmeans_1
291	Rps12	1.579075462707835e-05	1.4279104486072502	kmeans_0	Significance vs. kmeans_1
292	Tspan13	1.5896082011034284e-05	2.6841762721448426	kmeans_0	Significance vs. kmeans_1
293	Rpl36a	1.618936938441874e-05	1.4826389381248817	kmeans_0	Significance vs. kmeans_1
294	Dynlt1-ps1	1.6341104704342224e-05	1.8475411095392198	kmeans_0	Significance vs. kmeans_1
295	F11r	1.6554222979804872e-05	2.0376129607938775	kmeans_0	Significance vs. kmeans_1
296	Uqcr10	1.7030936846196484e-05	1.7803158882882806	kmeans_0	Significance vs. kmeans_1
297	Abhd17c	1.7030936846196484e-05	2.666234812863073	kmeans_0	Significance vs. kmeans_1
298	Rpl10a-ps1	1.7139774881661528e-05	1.8413341381351163	kmeans_0	Significance vs. kmeans_1
299	Gm43719	1.825041500352748e-05	2.366930380026469	kmeans_0	Significance vs. kmeans_1
300	Gm13436	1.945267873317501e-05	1.8853947833648987	kmeans_0	Significance vs. kmeans_1
301	Foxp2	1.9571505461616904e-05	2.227533789562132	kmeans_0	Significance vs. kmeans_1
302	Tspan15	1.9725753211194467e-05	2.500455600037849	kmeans_0	Significance vs. kmeans_1
303	Rps23-ps2	2.0751719621580646e-05	2.0470413818662365	kmeans_0	Significance vs. kmeans_1
304	Samhd1	2.130990069743001e-05	2.5792589023012344	kmeans_0	Significance vs. kmeans_1
305	Gm7331	2.200991449411904e-05	2.0088342190160775	kmeans_0	Significance vs. kmeans_1
306	Aqp1	2.342664865254779e-05	2.6618503597532506	kmeans_0	Significance vs. kmeans_1
307	Gm10116	2.367305060332551e-05	1.7857737226011803	kmeans_0	Significance vs. kmeans_1
308	Hspg2	2.4027363390094405e-05	2.4879950559090918	kmeans_0	Significance vs. kmeans_1
309	Btf3	2.5651078489563426e-05	1.5451652116535812	kmeans_0	Significance vs. kmeans_1
310	Vapa	2.6286282212571382e-05	1.5543006775821095	kmeans_0	Significance vs. kmeans_1
311	Atp2b1	2.64712936351286e-05	1.7130804750954103	kmeans_0	Significance vs. kmeans_1
312	Nbeal1	2.7727931478358873e-05	1.5993216884137382	kmeans_0	Significance vs. kmeans_1
313	Gm10136	2.7727931478358873e-05	1.6795231666939854	kmeans_0	Significance vs. kmeans_1
314	Myl12a	2.7727931478358873e-05	1.4491129340922033	kmeans_0	Significance vs. kmeans_1
315	Cox6a1	2.7881856658735647e-05	1.4827112985988635	kmeans_0	Significance vs. kmeans_1
316	Rpl14-ps1	2.8237658074448017e-05	1.6436780520435736	kmeans_0	Significance vs. kmeans_1
317	Rps20	2.8301473578439307e-05	1.4116536352714444	kmeans_0	Significance vs. kmeans_1
318	Gm11353	2.859381000980605e-05	1.9800714413717788	kmeans_0	Significance vs. kmeans_1
319	Gm10157	2.859381000980605e-05	1.467621900510118	kmeans_0	Significance vs. kmeans_1
320	Ier3	2.859381000980605e-05	2.3861354009224702	kmeans_0	Significance vs. kmeans_1
321	Gm9493	2.9085782259428552e-05	1.826266156382312	kmeans_0	Significance vs. kmeans_1
322	Rps4x	3.132398951070401e-05	1.356279371652606	kmeans_0	Significance vs. kmeans_1
323	Meg3	3.137216932046575e-05	2.1286901674503698	kmeans_0	Significance vs. kmeans_1
324	Rps16	3.1640672714807926e-05	1.3769010723321697	kmeans_0	Significance vs. kmeans_1
325	AU021092	3.2165194233060585e-05	2.3019469087828623	kmeans_0	Significance vs. kmeans_1
326	Gm9794	3.254661160525727e-05	1.7559402684794418	kmeans_0	Significance vs. kmeans_1
327	Rps2-ps10	3.4000187656232885e-05	1.925545270189814	kmeans_0	Significance vs. kmeans_1
328	Ddc	3.411344637951297e-05	2.7235003647605107	kmeans_0	Significance vs. kmeans_1
329	Shfm1	3.436195225152238e-05	1.5263339315052036	kmeans_0	Significance vs. kmeans_1
330	Gm13408	3.486402616821776e-05	1.8236554392932889	kmeans_0	Significance vs. kmeans_1
331	Nectin3	3.553842027423553e-05	2.248086736380095	kmeans_0	Significance vs. kmeans_1
332	Gm12411	3.646417554212984e-05	1.558392241436523	kmeans_0	Significance vs. kmeans_1
333	Rps3a2	3.660201495700016e-05	1.5915560913130788	kmeans_0	Significance vs. kmeans_1
334	Spock2	3.716023229270038e-05	2.3887344166654283	kmeans_0	Significance vs. kmeans_1
335	Vcl	3.7417198388244774e-05	2.1454614386773847	kmeans_0	Significance vs. kmeans_1
336	Gm37219	3.8327230745048984e-05	2.161523436767107	kmeans_0	Significance vs. kmeans_1
337	Asah1	3.8611227273931534e-05	1.9080058260654307	kmeans_0	Significance vs. kmeans_1
338	Gm10359	4.019686219536116e-05	1.80495513196708	kmeans_0	Significance vs. kmeans_1
339	Gm15772	4.0858731990283444e-05	1.6623871642249437	kmeans_0	Significance vs. kmeans_1
340	Kmt2d	4.2185030846077446e-05	1.7168385840186304	kmeans_0	Significance vs. kmeans_1
341	Cttnbp2nl	4.5005151677945344e-05	2.5762980063218515	kmeans_0	Significance vs. kmeans_1
342	Ptp4a2	4.5221328643238037e-05	1.7772411824257655	kmeans_0	Significance vs. kmeans_1
343	Rps2	4.815336253575764e-05	1.6246447193527978	kmeans_0	Significance vs. kmeans_1
344	Mpp7	5.0181724699247694e-05	2.4410348213358324	kmeans_0	Significance vs. kmeans_1
345	Emp1	5.24117215605203e-05	2.629870523307107	kmeans_0	Significance vs. kmeans_1
346	Trp53bp2	5.49504613691055e-05	2.304652999364239	kmeans_0	Significance vs. kmeans_1
347	Cbx3	5.6292416192404605e-05	1.512362816013606	kmeans_0	Significance vs. kmeans_1
348	Kdelr2	5.7905422178372884e-05	1.6145096211313645	kmeans_0	Significance vs. kmeans_1
349	Rpl30-ps10	5.850361579388314e-05	1.9506487454925439	kmeans_0	Significance vs. kmeans_1
350	Gm6136	6.0723665747537124e-05	1.8595916353349984	kmeans_0	Significance vs. kmeans_1
351	Mrpl52	6.19515860294321e-05	1.8793707820666965	kmeans_0	Significance vs. kmeans_1
352	Krt18	6.563663186802318e-05	1.6770264687083616	kmeans_0	Significance vs. kmeans_1
353	Scd2	6.63134654945747e-05	1.414688692400057	kmeans_0	Significance vs. kmeans_1
354	Acot9	6.965806384876487e-05	2.5859697179296046	kmeans_0	Significance vs. kmeans_1
355	Rpl17-ps5	7.109459900638342e-05	1.7634088413508067	kmeans_0	Significance vs. kmeans_1
356	Actn1	7.109459900638342e-05	2.05817191978941	kmeans_0	Significance vs. kmeans_1
357	Spry2	7.298799224043037e-05	1.657494819392742	kmeans_0	Significance vs. kmeans_1
359	Slc6a14	7.384635402526804e-05	2.321506279340257	kmeans_0	Significance vs. kmeans_1
358	Zfhx3	7.384635402526804e-05	1.6370290350110688	kmeans_0	Significance vs. kmeans_1
360	Rpl35a-ps3	7.385050380831739e-05	1.6096546962238873	kmeans_0	Significance vs. kmeans_1
361	Rpl35a-ps2	7.385050380831739e-05	1.6096546962238873	kmeans_0	Significance vs. kmeans_1
362	Rpl35a-ps4	7.385050380831739e-05	1.6096546962238873	kmeans_0	Significance vs. kmeans_1
363	Rpl35a-ps6	7.385050380831739e-05	1.6096546962238873	kmeans_0	Significance vs. kmeans_1
364	Eif3h	7.416365616582147e-05	1.6640373272318605	kmeans_0	Significance vs. kmeans_1
365	Upf1	7.416365616582147e-05	2.0132826333523126	kmeans_0	Significance vs. kmeans_1
366	Nfat5	7.881323645428465e-05	1.9413803603563515	kmeans_0	Significance vs. kmeans_1
367	Rpl21-ps15	8.41005642498423e-05	2.007707602808231	kmeans_0	Significance vs. kmeans_1
368	Dapk2	8.448011217406277e-05	2.2581808392980967	kmeans_0	Significance vs. kmeans_1
369	Bnip3l	8.566353678332013e-05	1.6399015195711568	kmeans_0	Significance vs. kmeans_1
370	Wfdc1	8.978075580991109e-05	2.7125916980288203	kmeans_0	Significance vs. kmeans_1
371	Serpinh1	9.000610570646935e-05	2.1367633542849185	kmeans_0	Significance vs. kmeans_1
372	Mmp14	9.103514620103267e-05	2.4244745179124427	kmeans_0	Significance vs. kmeans_1
373	Rab12	9.117995535195742e-05	2.1536223265715697	kmeans_0	Significance vs. kmeans_1
374	Rhog	9.309950536936932e-05	2.714895615636047	kmeans_0	Significance vs. kmeans_1
375	Pfn1	9.54378481722011e-05	1.739377945650024	kmeans_0	Significance vs. kmeans_1
376	Mif	9.72283664366024e-05	2.0406465545237102	kmeans_0	Significance vs. kmeans_1
377	Hcfc1r1	9.945462098121443e-05	2.025813099970827	kmeans_0	Significance vs. kmeans_1
378	1810022K09Rik	9.945462098121443e-05	1.9711569214978881	kmeans_0	Significance vs. kmeans_1
379	Zc3hav1	0.00010029251849456572	2.29863651002215	kmeans_0	Significance vs. kmeans_1
380	Macf1	0.00010241082331665338	1.8757858890822805	kmeans_0	Significance vs. kmeans_1
381	Rpl22l1	0.0001033402756909152	1.5282985404671492	kmeans_0	Significance vs. kmeans_1
382	Igf1r	0.00010619606633620634	2.2015084422660673	kmeans_0	Significance vs. kmeans_1
383	Rab25	0.00010884501655705613	2.2048141739588125	kmeans_0	Significance vs. kmeans_1
384	Gm12254	0.00010994585770671956	1.6273314483451575	kmeans_0	Significance vs. kmeans_1
385	Tm9sf3	0.00011397811636594252	1.9643794504937115	kmeans_0	Significance vs. kmeans_1
386	Gm12671	0.0001157001313867228	1.7039902160226048	kmeans_0	Significance vs. kmeans_1
387	Paqr5	0.00012051328614340266	2.7404037060038764	kmeans_0	Significance vs. kmeans_1
388	Arid1b	0.0001256478999278242	1.6985569324496734	kmeans_0	Significance vs. kmeans_1
389	Slc4a5	0.00012644893060631253	2.2361168014137456	kmeans_0	Significance vs. kmeans_1
390	Sep15	0.0001268493862896946	1.6482533295243371	kmeans_0	Significance vs. kmeans_1
391	Pard6b	0.000127067977146134	2.3486643724288814	kmeans_0	Significance vs. kmeans_1
392	Gm12940	0.00013150892387049046	1.7262757096517627	kmeans_0	Significance vs. kmeans_1
393	Gm8730	0.00013751325309048623	1.6775274154478141	kmeans_0	Significance vs. kmeans_1
394	Atpif1	0.00014002497507771704	1.5802931233140434	kmeans_0	Significance vs. kmeans_1
395	Frmd4a	0.000140201739652322	2.5692362247524216	kmeans_0	Significance vs. kmeans_1
396	Trim8	0.0001449458746912247	2.0303786583596652	kmeans_0	Significance vs. kmeans_1
397	Rpl28-ps3	0.0001456996152603643	1.398649361521207	kmeans_0	Significance vs. kmeans_1
398	Rpl36a-ps2	0.0001467551892538679	1.6694504020205272	kmeans_0	Significance vs. kmeans_1
399	Twf1	0.00014813071335049552	1.756162700389487	kmeans_0	Significance vs. kmeans_1
400	Prdm16	0.00015344810455051328	2.227262772249525	kmeans_0	Significance vs. kmeans_1
401	Rps6-ps1	0.00015659871682664248	1.4862585386971539	kmeans_0	Significance vs. kmeans_1
402	Sema5a	0.00015726798924958082	2.4912668260332036	kmeans_0	Significance vs. kmeans_1
403	Gm10123	0.00016162284182856716	1.50461017327215	kmeans_0	Significance vs. kmeans_1
404	Gm16477	0.00017000452948877771	1.8057487906004104	kmeans_0	Significance vs. kmeans_1
405	Gm10925	0.00017193928641573078	1.524618872846995	kmeans_0	Significance vs. kmeans_1
406	Sept2	0.00017534080018801205	1.396787358934864	kmeans_0	Significance vs. kmeans_1
407	Gm5529	0.00017534080018801205	1.5162257767231098	kmeans_0	Significance vs. kmeans_1
408	Gm37401	0.0001784289794145377	1.9901256060569912	kmeans_0	Significance vs. kmeans_1
409	Rpl27a	0.00017918598842087079	1.4371061078769092	kmeans_0	Significance vs. kmeans_1
410	Eef1b2	0.0001814542052173096	1.5874432059526333	kmeans_0	Significance vs. kmeans_1
411	Trim3	0.00018250554771041325	2.4437721473413685	kmeans_0	Significance vs. kmeans_1
412	2700060E02Rik	0.0001878911088913144	2.2910300885023713	kmeans_0	Significance vs. kmeans_1
413	Gm4294	0.0001884300481017755	1.866848188905664	kmeans_0	Significance vs. kmeans_1
414	Kif1b	0.00018876305482711254	2.361672708867349	kmeans_0	Significance vs. kmeans_1
415	Npm1	0.00019681565206642037	1.4162219357230204	kmeans_0	Significance vs. kmeans_1
416	Wwc1	0.00019744899905743874	2.0817094227768256	kmeans_0	Significance vs. kmeans_1
417	Mthfd1	0.00020104993634608475	1.9926561479252336	kmeans_0	Significance vs. kmeans_1
418	Tef	0.0002015363206118745	2.5247888938612046	kmeans_0	Significance vs. kmeans_1
419	Zfp266	0.00020714317289475363	1.9507797750062799	kmeans_0	Significance vs. kmeans_1
420	Strn3	0.00020722495288138162	2.133792477016567	kmeans_0	Significance vs. kmeans_1
421	Hck	0.00020821203623657292	2.5789517423365242	kmeans_0	Significance vs. kmeans_1
422	Gbas	0.00021565607996895236	1.8493625331428474	kmeans_0	Significance vs. kmeans_1
423	Nrep	0.0002174049259951917	2.045112602109481	kmeans_0	Significance vs. kmeans_1
424	Rpl21-ps8	0.0002185160546085477	1.456754647326603	kmeans_0	Significance vs. kmeans_1
425	Wsb1	0.00021855201825683363	1.6781523263893805	kmeans_0	Significance vs. kmeans_1
426	Hipk2	0.0002346110863779424	2.257638258082376	kmeans_0	Significance vs. kmeans_1
427	Ndufa3	0.0002373455601679818	1.473065291276746	kmeans_0	Significance vs. kmeans_1
428	Cldn7	0.0002380962603434558	2.0436066265837805	kmeans_0	Significance vs. kmeans_1
429	Wdr1	0.00024115662849283906	1.7745201687345535	kmeans_0	Significance vs. kmeans_1
430	Kdm5b	0.0002528983403723657	1.85367627051241	kmeans_0	Significance vs. kmeans_1
431	Fnbp1l	0.0002683782023415459	1.7139710777633164	kmeans_0	Significance vs. kmeans_1
432	Mbnl1	0.00028259864689500084	1.5685842030189847	kmeans_0	Significance vs. kmeans_1
433	Tspan2	0.0002881411972087402	1.975278303745363	kmeans_0	Significance vs. kmeans_1
434	Fzd2	0.0002906096323756237	1.987767911658582	kmeans_0	Significance vs. kmeans_1
435	Gm10263	0.0002925712204390647	1.5008297599327574	kmeans_0	Significance vs. kmeans_1
436	Ostf1	0.0002971791375302159	2.3398793105096973	kmeans_0	Significance vs. kmeans_1
437	Rtn4	0.0003072029233752241	2.0370899497337702	kmeans_0	Significance vs. kmeans_1
438	Capn2	0.0003133390604401393	2.0334144885825567	kmeans_0	Significance vs. kmeans_1
439	Tet2	0.0003168610444326579	1.884589519944431	kmeans_0	Significance vs. kmeans_1
440	Eif3e	0.0003279949046044396	1.7374785526234067	kmeans_0	Significance vs. kmeans_1
441	Fgfbp1	0.0003385544097400276	1.987083528458149	kmeans_0	Significance vs. kmeans_1
442	Klf13	0.0003405403749930441	1.8945789331094758	kmeans_0	Significance vs. kmeans_1
443	Igf2bp2	0.0003406074040116281	2.1377496105680587	kmeans_0	Significance vs. kmeans_1
444	Fam129b	0.000347818713673291	2.1885151954090105	kmeans_0	Significance vs. kmeans_1
445	Smc4	0.000347818713673291	2.0763101571844693	kmeans_0	Significance vs. kmeans_1
446	Birc6	0.00035871119572341046	1.6917071045401075	kmeans_0	Significance vs. kmeans_1
447	Rpl17-ps9	0.0003603887618234199	1.3580496212616182	kmeans_0	Significance vs. kmeans_1
448	Tacc2	0.00036684248577992603	2.1492713546846156	kmeans_0	Significance vs. kmeans_1
449	Gm26825	0.0003764025130935974	2.1624384298123513	kmeans_0	Significance vs. kmeans_1
450	Gm4332	0.00037740447447894525	1.71398771204588	kmeans_0	Significance vs. kmeans_1
451	Rps10-ps1	0.0003802525400268002	1.4722580000703056	kmeans_0	Significance vs. kmeans_1
452	Fads3	0.00038723609042484665	2.140641620455058	kmeans_0	Significance vs. kmeans_1
453	Slc1a5	0.0003884268133183502	2.10197897560662	kmeans_0	Significance vs. kmeans_1
454	Fam198b	0.0003933273045596662	2.3293788674696216	kmeans_0	Significance vs. kmeans_1
455	Bmp2k	0.00040088154177289056	1.9041983760828287	kmeans_0	Significance vs. kmeans_1
456	Bola2	0.0004034190966025424	1.944764605949432	kmeans_0	Significance vs. kmeans_1
457	Rpl6	0.00043528792386745267	1.3624378717793633	kmeans_0	Significance vs. kmeans_1
458	Cox17	0.00043753856684691447	1.7245587856987272	kmeans_0	Significance vs. kmeans_1
459	Rps19-ps4	0.0004489782890885857	1.5194260567152378	kmeans_0	Significance vs. kmeans_1
460	Minos1	0.0004500429978183035	1.589671352282422	kmeans_0	Significance vs. kmeans_1
461	S100a14	0.0004535842016426868	2.165532116890075	kmeans_0	Significance vs. kmeans_1
462	Plb1	0.00046042328151516026	2.5934821011321563	kmeans_0	Significance vs. kmeans_1
463	Timp2	0.0004672107293868861	2.4209523292971915	kmeans_0	Significance vs. kmeans_1
464	Grb10	0.00047199300081605814	2.0633194229997014	kmeans_0	Significance vs. kmeans_1
465	Ctnna1	0.00047199300081605814	1.519251946580687	kmeans_0	Significance vs. kmeans_1
466	Gm9844	0.00048328850849618376	1.4968433409300448	kmeans_0	Significance vs. kmeans_1
467	Rpl18-ps2	0.0004841086418114028	1.4456671020879603	kmeans_0	Significance vs. kmeans_1
468	Fbn2	0.0004910280613409244	2.3657202935513424	kmeans_0	Significance vs. kmeans_1
469	Rabac1	0.0005091228825830938	1.8551694004913173	kmeans_0	Significance vs. kmeans_1
470	Ctnnd2	0.00052164822362232	2.193743343853125	kmeans_0	Significance vs. kmeans_1
471	Gm5560	0.0005253458759366509	1.5023072521604273	kmeans_0	Significance vs. kmeans_1
472	Gm5835	0.0005371914444144354	1.4898609368728444	kmeans_0	Significance vs. kmeans_1
473	Ndst1	0.0005402739955256782	2.2323056923649065	kmeans_0	Significance vs. kmeans_1
474	Dsp	0.000562828587844658	2.189164982049289	kmeans_0	Significance vs. kmeans_1
475	Mrpl42	0.0005707079272418762	2.0036772989990297	kmeans_0	Significance vs. kmeans_1
476	Gnas	0.0005707079272418762	1.5565467907248094	kmeans_0	Significance vs. kmeans_1
477	Rbm39	0.000579416318008541	1.440845517703577	kmeans_0	Significance vs. kmeans_1
478	Igf2r	0.0005842229963587337	1.8602646622638765	kmeans_0	Significance vs. kmeans_1
479	Tmem55a	0.0005884166629740646	2.2630030926924083	kmeans_0	Significance vs. kmeans_1
480	Epha4	0.0005939082933923055	2.605500228789396	kmeans_0	Significance vs. kmeans_1
481	Tbrg1	0.0005939082933923055	2.0094785829960227	kmeans_0	Significance vs. kmeans_1
482	Eef2	0.0005989707794434309	1.456650112477933	kmeans_0	Significance vs. kmeans_1
483	Myh14	0.0006054330325655056	1.9581710628275333	kmeans_0	Significance vs. kmeans_1
484	Igfbp7	0.0006055900865271636	1.8855144635645724	kmeans_0	Significance vs. kmeans_1
485	Gm11263	0.0006055900865271636	1.5962543361109622	kmeans_0	Significance vs. kmeans_1
486	Adrb2	0.0006561920681044662	2.1224551566912915	kmeans_0	Significance vs. kmeans_1
487	C430049B03Rik	0.0006759490516144883	2.0470549487739973	kmeans_0	Significance vs. kmeans_1
488	Calcoco1	0.0006803093221437496	2.0138069944056154	kmeans_0	Significance vs. kmeans_1
489	Itga3	0.0006887992646530167	2.1821752148977724	kmeans_0	Significance vs. kmeans_1
490	Phyh	0.0006930780351424949	1.9526809946995947	kmeans_0	Significance vs. kmeans_1
491	Gm11744	0.0007041410633798703	2.122930600067874	kmeans_0	Significance vs. kmeans_1
492	Ddb1	0.0007317084346234867	2.005041085864682	kmeans_0	Significance vs. kmeans_1
493	Gnb1	0.0007474983403536537	1.36737465838901	kmeans_0	Significance vs. kmeans_1
494	Etl4	0.0007769360392061436	1.9952277490657404	kmeans_0	Significance vs. kmeans_1
495	Naca	0.0007887013401453009	1.3223839873925798	kmeans_0	Significance vs. kmeans_1
496	Rbms1	0.0007887013401453009	1.7000618743042162	kmeans_0	Significance vs. kmeans_1
497	Fam208a	0.0008138708018757978	2.142515196493882	kmeans_0	Significance vs. kmeans_1
498	Lpar1	0.0008245878715546077	2.5027618372584852	kmeans_0	Significance vs. kmeans_1
499	Gm13340	0.0008249343085554053	1.4827937156023316	kmeans_0	Significance vs. kmeans_1
500	Klhl24	0.0008374527124835131	1.810836309417296	kmeans_0	Significance vs. kmeans_1
501	Nfib	0.0008547895251006659	1.6046991887811926	kmeans_0	Significance vs. kmeans_1
502	Gm8430	0.0008661044233988756	1.6648300409727526	kmeans_0	Significance vs. kmeans_1
503	Gm10335	0.0008880230733727958	1.656841404133557	kmeans_0	Significance vs. kmeans_1
504	Rnf150	0.0008881935127078255	2.3312382571165635	kmeans_0	Significance vs. kmeans_1
505	Wapl	0.0009083774859032651	1.5192371966491243	kmeans_0	Significance vs. kmeans_1
506	Rpl38-ps2	0.000984381272378243	1.5741767544063545	kmeans_0	Significance vs. kmeans_1
507	2810474O19Rik	0.000999568665265288	1.5927309547305024	kmeans_0	Significance vs. kmeans_1
508	Podxl	0.000999568665265288	2.3841480478682913	kmeans_0	Significance vs. kmeans_1
509	Gm7027	0.001009767856175737	1.435583347162009	kmeans_0	Significance vs. kmeans_1
510	Tfdp2	0.0010166218025985134	2.1171362290462805	kmeans_0	Significance vs. kmeans_1
511	Rbm25	0.0010265214881899215	1.5704660934814136	kmeans_0	Significance vs. kmeans_1
512	H2afy	0.0010496163897033967	1.7328419343493522	kmeans_0	Significance vs. kmeans_1
513	Tns3	0.0010667471029838216	2.157708285578491	kmeans_0	Significance vs. kmeans_1
514	Gm20900	0.0010873843268429302	1.331394434089293	kmeans_0	Significance vs. kmeans_1
515	Cdkn2b	0.0011102627098607558	2.3399678134930215	kmeans_0	Significance vs. kmeans_1
516	Gm13680	0.001134121322774779	1.5085400428387388	kmeans_0	Significance vs. kmeans_1
517	COX3	0.0011462484304515948	1.3183110172976245	kmeans_0	Significance vs. kmeans_1
518	Tcf7l2	0.0011510749757277952	2.1834616256909225	kmeans_0	Significance vs. kmeans_1
519	Bnip3l-ps	0.001186185258363911	1.7566840305402007	kmeans_0	Significance vs. kmeans_1
520	Gm5869	0.00120544574116528	1.5368372930616438	kmeans_0	Significance vs. kmeans_1
521	Lrpap1	0.0012141095965454815	2.028172403344989	kmeans_0	Significance vs. kmeans_1
522	Arhgef28	0.001220507607795932	2.1668039206327205	kmeans_0	Significance vs. kmeans_1
523	Fam101b	0.0012330705500691094	2.0626242717561203	kmeans_0	Significance vs. kmeans_1
524	Aprt	0.0012341729209412566	2.2866232606347143	kmeans_0	Significance vs. kmeans_1
525	Cish	0.0012453388563563106	2.3473535910396937	kmeans_0	Significance vs. kmeans_1
526	Il18r1	0.001253992742685993	1.834370026999298	kmeans_0	Significance vs. kmeans_1
527	Gm10073	0.001253992742685993	1.6116147773556737	kmeans_0	Significance vs. kmeans_1
528	Gm15725	0.00128698979729714	1.656176909115698	kmeans_0	Significance vs. kmeans_1
529	Rpsa-ps2	0.0012887917223285514	1.3699398519786696	kmeans_0	Significance vs. kmeans_1
530	Cnot1	0.0012939778034539138	2.1545550018525916	kmeans_0	Significance vs. kmeans_1
531	Eif3g	0.0013005118927808964	2.2029325689839823	kmeans_0	Significance vs. kmeans_1
532	Rpl19-ps1	0.0013287428284832134	1.3476066599457894	kmeans_0	Significance vs. kmeans_1
533	Ndufa8	0.0013365015289213895	1.8245334962524042	kmeans_0	Significance vs. kmeans_1
534	Tnks2	0.0013365015289213895	1.9463434337525742	kmeans_0	Significance vs. kmeans_1
535	Timm10b	0.0013693822737970898	1.926181869867886	kmeans_0	Significance vs. kmeans_1
536	Arhgap29	0.00140161552115568	2.1078327764706812	kmeans_0	Significance vs. kmeans_1
538	Wwp1	0.0014131815784542369	1.7922864027551249	kmeans_0	Significance vs. kmeans_1
537	Gm8186	0.0014131815784542369	1.6076567159623407	kmeans_0	Significance vs. kmeans_1
539	Ndufa13	0.0014246803669405764	1.580787518881192	kmeans_0	Significance vs. kmeans_1
540	Mal2	0.0014246803669405764	1.4792767533269873	kmeans_0	Significance vs. kmeans_1
541	Rps10-ps2	0.0014246803669405764	1.5275119374992827	kmeans_0	Significance vs. kmeans_1
542	Nisch	0.0014393620640145322	1.7514630400268785	kmeans_0	Significance vs. kmeans_1
543	Lamb2	0.0014914448088427226	2.0708298946077583	kmeans_0	Significance vs. kmeans_1
544	Atp5j2	0.0014963330491096904	1.4262330206925238	kmeans_0	Significance vs. kmeans_1
545	Ywhag	0.0015573053848551997	2.10687444352572	kmeans_0	Significance vs. kmeans_1
546	Zfos1	0.0015676640447817418	1.4630461648524444	kmeans_0	Significance vs. kmeans_1
547	Als2cl	0.001583257233081774	1.93068914510551	kmeans_0	Significance vs. kmeans_1
548	Hes1	0.001583257233081774	1.4998845447276974	kmeans_0	Significance vs. kmeans_1
549	Schip1	0.001583257233081774	1.854095330221626	kmeans_0	Significance vs. kmeans_1
550	Atp5g2	0.001619608563935832	1.6634441310233359	kmeans_0	Significance vs. kmeans_1
551	Ndufs6	0.0016441600229929534	1.675970586010104	kmeans_0	Significance vs. kmeans_1
552	Otub1	0.0016585841241183424	1.9230124094939127	kmeans_0	Significance vs. kmeans_1
553	Rps15a-ps7	0.0016916546042965931	1.508146476060768	kmeans_0	Significance vs. kmeans_1
554	Grcc10	0.001780944570818492	1.7372991465195262	kmeans_0	Significance vs. kmeans_1
555	Snx4	0.001822333457163135	1.8828394865111857	kmeans_0	Significance vs. kmeans_1
556	Rin2	0.001826756813607246	1.9285067809478815	kmeans_0	Significance vs. kmeans_1
557	Arf1	0.0018313379920906207	1.5970371586190988	kmeans_0	Significance vs. kmeans_1
558	Usmg5	0.001851933881797216	1.45169476908579	kmeans_0	Significance vs. kmeans_1
559	Ptpn14	0.0018827388199703851	2.2670788377902693	kmeans_0	Significance vs. kmeans_1
560	Itgb1	0.0019242293222717156	1.6092399702980802	kmeans_0	Significance vs. kmeans_1
561	Stard13	0.0019307625151582595	2.146685778985021	kmeans_0	Significance vs. kmeans_1
562	Btg2	0.0019545382832162786	1.3912894087054086	kmeans_0	Significance vs. kmeans_1
563	Galnt18	0.0019951612828770916	2.0810332017719126	kmeans_0	Significance vs. kmeans_1
564	Anks1	0.002023591600119766	2.030476288136004	kmeans_0	Significance vs. kmeans_1
565	Gm6286	0.002052434975331306	1.367234074964804	kmeans_0	Significance vs. kmeans_1
566	Rpl36-ps2	0.0020682363829394304	1.346918765056917	kmeans_0	Significance vs. kmeans_1
567	Mlf2	0.0020851678793374273	1.8172340290690594	kmeans_0	Significance vs. kmeans_1
568	Sumo2	0.0020879047734140427	1.5146828904614338	kmeans_0	Significance vs. kmeans_1
569	Icam1	0.0020879047734140427	1.642473452370887	kmeans_0	Significance vs. kmeans_1
570	Arhgap31	0.002090628439468953	2.045547638688707	kmeans_0	Significance vs. kmeans_1
571	Osbpl6	0.0021041839433744393	1.922449873762948	kmeans_0	Significance vs. kmeans_1
572	Rpl22	0.002131106321733597	1.4262792376225053	kmeans_0	Significance vs. kmeans_1
573	Gm20721	0.002154142586170229	1.667509209431247	kmeans_0	Significance vs. kmeans_1
574	Atp5k	0.002215681700260338	1.5602417972303848	kmeans_0	Significance vs. kmeans_1
575	Pan3	0.0022574439617004437	1.5083074355121067	kmeans_0	Significance vs. kmeans_1
576	Mtmr12	0.002284737456025578	2.285029651664204	kmeans_0	Significance vs. kmeans_1
577	Gm5148	0.0022920657503869785	1.7235459840250402	kmeans_0	Significance vs. kmeans_1
578	Ccnl1	0.0022955644214804846	1.570380971769906	kmeans_0	Significance vs. kmeans_1
579	Llgl2	0.0023032057677887666	2.030526072148688	kmeans_0	Significance vs. kmeans_1
580	Eif1a	0.0023227324950684186	1.7849646098878924	kmeans_0	Significance vs. kmeans_1
581	Ubap2l	0.0023227324950684186	1.6476521054411946	kmeans_0	Significance vs. kmeans_1
582	Gm12191	0.002339163004095232	1.5670464797067398	kmeans_0	Significance vs. kmeans_1
